parlamento.pt,nome,partido,distrito,wikipedia,facebook,twitter,instagram
4161,Catarina Soares Martins,B.E.,Porto,Catarina_Martins,catarinamartinsBE,catarina_mart,catarina_smartins
6063,Joana Rodrigues Mortágua,B.E.,Setúbal,Joana_Mortágua,,JoanaMortagua,
2433,José Borges de Araújo de Moura Soeiro,B.E.,Porto,José_Soeiro,jose.soeiro,josesoeiroporto,ze.soeiro
4557,Mariana Rodrigues Mortágua,B.E.,Lisboa,Mariana_Mortágua,mariana.mortagua.7,MRMortagua,mmortagua
3926,Pedro Filipe Gomes Soares,B.E.,Lisboa,Pedro_Filipe_Soares,pedrofgsoares,PedroFgSoares,pfsoares
6535,André Claro Amaral Ventura,CH,Lisboa,André_Ventura,AndreAmaralVentura,AndreCVentura,andre_ventura_oficial
,António Filipe Dias Melo Peixoto,CH,Braga,António_Filipe_Dias_Melo_Peixoto,filipe.melo.9212301,,
,Bruno Miguel de Oliveira Nunes,CH,Setúbal,Bruno_Nunes,PorPortugalCHEGA,brunomnunes,
6858,Diogo Velez Mouta Pacheco de Amorim,CH,Porto,Diogo_Pacheco_de_Amorim,Diogo-Pacheco-de-Amorim-103080031699440,,
,Gabriel Sérgio Mithá Ribeiro,CH,Leiria,Gabriel_Mithá_Ribeiro,,,
,Jorge Manuel de Valsassina Galveias Rodrigues,CH,Aveiro,Jorge_Galveias,jorge.galveias,jorgegalveias,
,Pedro Manuel de Andrade Pessanha Fernandes,CH,Lisboa,Pedro_Pessanha,presidehte,limetaste,
,Pedro Miguel Soares Pinto,CH,Faro,Pedro_Soares_Pinto,,,
,Pedro Saraiva Gonçalves dos Santos Frazão,CH,Santarém,Pedro_Frazão,psfrazao,pedrosfrazao,pedrodossantosfrazao
,Rita Maria Cid Matias,CH,Lisboa,Rita_Maria_Matias,rita.maria.matias.17,ritamariamatias,ritamariamatias
,Rui Paulo Duque Sousa,CH,Lisboa,Rui_Paulo_Sousa,ruisousa.politico,rpdsousa,rpdsousa
,Rui Pedro da Silva Afonso,CH,Porto,Rui_Afonso,ruiafonsochegaporto,,
,Ana Patrícia Costa Gilvaz,IL,Porto,,,,
,Bernardo Alves Martinho Amaral Blanco,IL,Lisboa,,bernardomblanco,bernardomblanco,bernardomblanco
,Carla Maria Proença de Castro Charters de Azevedo,IL,Lisboa,,carla.castro.90475,carlacastropt,
,Carlos Manuel Guimarães Oliveira Pinto,IL,Porto,Carlos_Guimarães_Pinto,,carlosgpinto,
,Joana Rita Madaleno Cordeiro,IL,Setúbal,,,,
,João Fernando Cotrim Figueiredo,IL,Lisboa,João_Cotrim_de_Figueiredo,jcf.liberal,jcf_liberal,jcf_liberal
,Rodrigo Miguel Dias Saraiva,IL,Lisboa,,rodrigo.diassaraiva,rsaraiva,
,Rui Nuno de Oliveira Garcia da Rocha,IL,Braga,,rui.rocha.908579,runroc,
,Rui Miguel Marcelino Tavares Pereira,L,Lisboa,Rui_Tavares,ruitavarespt,ruitavares,ruitavarespt
6864,Paula Inês Alves de Sousa Real,PAN,Lisboa,Inês_Sousa_Real,InesSousaReal,lnes_sousa_real,
5706,Alma Benedetti Croce Rivera,PCP-PEV,Lisboa,Alma_Rivera,,almabcrivera,
1715,Bruno Ramos Dias,PCP-PEV,Setúbal,Bruno_Dias,,,
4623,Diana Jorge Martins Ferreira,PCP-PEV,Porto,Diana_Ferreira,,dianajmferreira,
210,Jerónimo Carvalho de Sousa,PCP-PEV,Lisboa,Jerónimo_de_Sousa,,,
5524,João Manuel Ildefonso Dias,PCP-PEV,Beja,João_Dias_(político),,,
4197,Paula Alexandra Sobral Guerreiro Santos Barbosa,PCP-PEV,Setúbal,Paula_Santos,,,
3,Adão José Fonseca Silva,PPD/PSD,Bragança,Adão_Silva_(político),,,
4397,Afonso Gonçalves da Silva Oliveira,PPD/PSD,Porto,Afonso_Oliveira,,,
,Alexandre Bernardo de Macedo e Lopes Simões,PPD/PSD,Lisboa,,,,
7240,Alexandre Damasceno da Silva Poço,PPD/PSD,Lisboa,Alexandre_Poço,AlexandreDPoco,alexandre_poco,alexandrepoco
4396,Andreia Carina Machado da Silva Neto,PPD/PSD,Porto,,andreiadasilvaneto,andreianeto2017,
6539,André Guimarães Coelho Lima,PPD/PSD,Braga,André_Coelho_Lima,andrecoelholima2019,coelho_lima1,andre.coelholima
6853,António Alberto Maló de Abreu,PPD/PSD,Fora da Europa,António_Maló_de_Abreu,malodeabreu,malodeabreu,
,António Guilherme de Jesus Pais de Almeida,PPD/PSD,Viseu,,,,
,António Manuel Pimenta Proa,PPD/PSD,Lisboa,,,,
,António Milton Topa Gomes,PPD/PSD,Aveiro,,id=100002317597522,gomes_topa,topagomes
1992,António Pedro Roque da Visitação Oliveira,PPD/PSD,Lisboa,Pedro_Roque,apedro.roqueoliveira,proque_twit,
6905,Artur José Montenegro Soveral Freire de Andrade,PPD/PSD,Vila Real,Artur_Soveral_Andrade,,,
4304,Bruno Manuel Pereira Coimbra,PPD/PSD,Braga,Bruno_Coimbra,brunompcoimbra,brunompcoimbra,
