nome,partido,distrito
Catarina Soares Martins,B.E.,Porto
Joana Rodrigues Mortágua,B.E.,Setúbal
José Borges de Araújo de Moura Soeiro,B.E.,Porto
Mariana Rodrigues Mortágua,B.E.,Lisboa
Pedro Filipe Gomes Soares,B.E.,Lisboa
André Claro Amaral Ventura,CH,Lisboa
António Filipe Dias Melo Peixoto,CH,Braga
Bruno Miguel de Oliveira Nunes,CH,Setúbal
Diogo Velez Mouta Pacheco de Amorim,CH,Porto
Gabriel Sérgio Mithá Ribeiro,CH,Leiria
Jorge Manuel de Valsassina Galveias Rodrigues,CH,Aveiro
Pedro Manuel de Andrade Pessanha Fernandes,CH,Lisboa
Pedro Miguel Soares Pinto,CH,Faro
Pedro Saraiva Gonçalves dos Santos Frazão,CH,Santarém
Rita Maria Cid Matias,CH,Lisboa
Rui Paulo Duque Sousa,CH,Lisboa
Rui Pedro da Silva Afonso,CH,Porto
Ana Patrícia Costa Gilvaz,IL,Porto
Bernardo Alves Martinho Amaral Blanco,IL,Lisboa
Carla Maria Proença de Castro Charters de Azevedo,IL,Lisboa
Carlos Manuel Guimarães Oliveira Pinto,IL,Porto
Joana Rita Madaleno Cordeiro,IL,Setúbal
João Fernando Cotrim Figueiredo,IL,Lisboa
Rodrigo Miguel Dias Saraiva,IL,Lisboa
Rui Nuno de Oliveira Garcia da Rocha,IL,Braga
Rui Miguel Marcelino Tavares Pereira,L,Lisboa
Paula Inês Alves de Sousa Real,PAN,Lisboa
Alma Benedetti Croce Rivera,PCP-PEV,Lisboa
Bruno Ramos Dias,PCP-PEV,Setúbal
Diana Jorge Martins Ferreira,PCP-PEV,Porto
Jerónimo Carvalho de Sousa,PCP-PEV,Lisboa
João Manuel Ildefonso Dias,PCP-PEV,Beja
Paula Alexandra Sobral Guerreiro Santos Barbosa,PCP-PEV,Setúbal
Adão José Fonseca Silva,PPD/PSD,Bragança
Afonso Gonçalves da Silva Oliveira,PPD/PSD,Porto
Alexandre Bernardo de Macedo e Lopes Simões,PPD/PSD,Lisboa
Alexandre Damasceno da Silva Poço,PPD/PSD,Lisboa
Andreia Carina Machado da Silva Neto,PPD/PSD,Porto
André Guimarães Coelho Lima,PPD/PSD,Braga
António Alberto Maló de Abreu,PPD/PSD,Fora da Europa
António Guilherme de Jesus Pais de Almeida,PPD/PSD,Viseu
António Manuel Pimenta Proa,PPD/PSD,Lisboa
António Milton Topa Gomes,PPD/PSD,Aveiro
António Pedro Roque da Visitação Oliveira,PPD/PSD,Lisboa
Artur José Montenegro Soveral Freire de Andrade,PPD/PSD,Vila Real
Bruno Manuel Pereira Coimbra,PPD/PSD,Braga
Carla Manuela de Sousa Madureira,PPD/PSD,Aveiro
Carlos Eduardo Vasconcelos Fernandes Ribeiro dos Reis,PPD/PSD,Braga
Carlos Manuel de Brito Cação,PPD/PSD,Braga
Catarina Leite de Faria da Rocha Ferreira,PPD/PSD,Porto
Cláudia Patrícia Quitério Bento,PPD/PSD,Vila Real
Cláudia Sofia Farinha André,PPD/PSD,Castelo Branco
Cristiana Maria da Silva Ferreira,PPD/PSD,Viseu
Duarte Rogério Matos Ventura Pacheco,PPD/PSD,Lisboa
Fernando Mimoso Negrão,PPD/PSD,Setúbal
Firmino Jorge Anjos Pereira,PPD/PSD,Porto
Firmino José Rodrigues Marques,PPD/PSD,Braga
Gustavo de Sousa Duarte,PPD/PSD,Guarda
Helga Alexandra Freire Correia,PPD/PSD,Aveiro
Hugo Daniel Alves Martins de Carvalho,PPD/PSD,Viseu
Hugo João Ribeiro Maravilha,PPD/PSD,Viseu
Hugo Miguel Sousa Carneiro,PPD/PSD,Porto
Hugo Patrício Martinho de Oliveira,PPD/PSD,Leiria
Isabel Maria Meireles,PPD/PSD,Lisboa
Isaura Maria Crisóstomo Bernardino Morais,PPD/PSD,Santarém
Joana Catarina Barata Reis Lopes,PPD/PSD,Lisboa
Joaquim José Miranda Sarmento,PPD/PSD,Lisboa
Joaquim José Pinto Moreira,PPD/PSD,Porto
Jorge Manuel Salgueiro Mendes,PPD/PSD,Viana do Castelo
Jorge Paulo da Silva Oliveira,PPD/PSD,Braga
José Maria Lopes Silvano,PPD/PSD,Lisboa
João Carlos Araújo Rêgo Montenegro,PPD/PSD,Viana do Castelo
João Manuel Gomes Marques,PPD/PSD,Leiria
João Manuel Moura Rodrigues,PPD/PSD,Santarém
João Paulo Lima Barbosa de Melo,PPD/PSD,Coimbra
Lina Maria Cardoso Lopes,PPD/PSD,Lisboa
Luís Filipe Soromenho Gomes,PPD/PSD,Faro
Maria Clara Gonçalves Marques Mendes,PPD/PSD,Braga
Maria Emília Apolinário Sota Felicíssimo,PPD/PSD,Lisboa
Maria Emília e Sousa Cerqueira,PPD/PSD,Viana do Castelo
Maria Ester Vargas de Almeida e Silva,PPD/PSD,Europa
Maria Fernanda Pardaleiro Velez,PPD/PSD,Setúbal
Maria Gabriela da Cunha Baptista Rodrigues da Fonseca,PPD/PSD,Braga
Maria Germana de Sousa Rocha,PPD/PSD,Porto
Maria Inês Leiria Barroso,PPD/PSD,Santarém
Maria Paula da Graça Cardoso,PPD/PSD,Aveiro
Maria de Fátima Simões Ramos do Vale Ferreira,PPD/PSD,Coimbra
Márcia Isabel Duarte Passos Resende,PPD/PSD,Porto
Mónica Cláudia de Castro Quintela,PPD/PSD,Coimbra
Nuno Miguel Oliveira Carvalho,PPD/PSD,Setúbal
Ofélia Isabel Andrés da Conceição Ramos,PPD/PSD,Faro
Olga Cristina Fino Silvestre,PPD/PSD,Leiria
Paulo Cardoso Correia da Mota Pinto,PPD/PSD,Leiria
Paulo César Rios de Oliveira,PPD/PSD,Porto
Paulo Fernando de Sousa Ramalho,PPD/PSD,Porto
Paulo Miguel da Silva Santos,PPD/PSD,Porto
Ricardo Augusto Guerreiro Batista Leite,PPD/PSD,Lisboa
Ricardo Bastos Sousa,PPD/PSD,Aveiro
Rui Celestino dos Santos Cristina,PPD/PSD,Faro
Rui Fernando da Silva Rio,PPD/PSD,Porto
Rui Filipe Vilar Gomes,PPD/PSD,Aveiro
Rui Miguel Rocha da Cruz,PPD/PSD,Aveiro
Rui Pedro Guimarães de Melo Carvalho Lopes,PPD/PSD,Porto
Sofia Helena Correia Fernandes Sousa Matos,PPD/PSD,Porto
Sónia Cristina Silva dos Ramos,PPD/PSD,Évora
Tiago da Mota Veiga Moreira de Sá,PPD/PSD,Lisboa
Cláudia Patricia Homem de Gouveia Dantas,PPD/PSD.CDS-PP,Madeira
Mário Sérgio Quaresma Gonçalves Marques,PPD/PSD.CDS-PP,Madeira
Sara Martins Marques Santos Madruga da Costa,PPD/PSD.CDS-PP,Madeira
Francisco José Duarte Pimentel,PPD/PSD.CDS-PP.PPM,Açores
Paulo Alexandre Luís Botelho Moniz,PPD/PSD.CDS-PP.PPM,Açores
Agostinho Gonçalves Alves da Santa,PS,Vila Real
Alexandra Ludomila Ribeiro Fernandes Leitão,PS,Santarém
Alexandre Tiedke Quintanilha,PS,Porto
Ana Catarina Veiga dos Santos Mendonça Mendes,PS,Setúbal
Ana Manuel Jerónimo Lopes Correia Mendes Godinho,PS,Guarda
Ana Maria Pereira Abrunhosa Trigueiros de Aragão,PS,Castelo Branco
Ana Paula Mata Bernardo,PS,Porto
Ana Sofia Pedroso Lopes Antunes,PS,Lisboa
Anabela Pimenta de Lima de Deus Real,PS,Braga
André Alexandre Pinotes Batista,PS,Setúbal
António Herminio Carvalho Monteirinho,PS,Guarda
António Lacerda Sales,PS,Leiria
António Luís Santos da Costa,PS,Lisboa
António Manuel Veiga dos Santos Mendonça Mendes,PS,Setúbal
Augusto Ernesto Santos Silva,PS,Fora da Europa
Berta Ferreira Milheiro Nunes,PS,Bragança
Bruno Armando Aragão Henriques,PS,Aveiro
Carla Alexandra Magalhães de Sousa,PS,Porto
Carlos Alberto Silva Brás,PS,Porto
Carlos Filipe de Andrade Neto Brandão,PS,Aveiro
Carlos João Pereira,PS,Madeira
Catarina Teresa Rola Sarmento e Castro,PS,Leiria
Clarisse Maria Gaudino Veredas Campos,PS,Setúbal
Cláudia Maria Cruz Santos,PS,Aveiro
Cristina Maria Mendes da Silva,PS,Porto
Edite de Fátima Santos Marreiros Estrela,PS,Lisboa
Eduardo Miguel Oliveira Alves,PS,Portalegre
Eduardo Nuno Rodrigues e Pinheiro,PS,Porto
Eduardo Salvador da Costa Oliveira,PS,Braga
Eurico Jorge Nogueira Leite Brilhante Dias,PS,Leiria
Eurídice Maria de Sousa Pereira,PS,Setúbal
Fernando Medina Maciel Almeida Correia,PS,Lisboa
Fernando Miguel Catarino José,PS,Setúbal
Francisco José Ferreira da Rocha,PS,Vila Real
Francisco José Pereira de Oliveira,PS,Faro
Francisco Miguel Vital Gomes do Vale César,PS,Açores
Fátima Liliana Fontes Correia Pinto,PS,Vila Real
Graça Maria da Fonseca Caetano Gonçalves,PS,Lisboa
Hugo Alexandre Polido Pires,PS,Braga
Hugo Daniel Matos Oliveira,PS,Aveiro
Hugo Miguel Carvalheiro dos Santos Costa,PS,Santarém
Hugo Miguel Costa Carvalho,PS,Porto
Isabel Cristina Andrez Guerreiro Bica,PS,Faro
